type,task,constantpredictor,h2oautoml
binary,apsfailure,0.5,
binary,australian,0.5,
binary,bioresponse,0.5,
binary,blood-transfusion,0.5,
binary,christine,0.5,
binary,credit-g,0.5,
binary,dresses-sales,0.5,
binary,internet-advertisements,0.5,
binary,jasmine,0.5,
binary,kc1,0.5,
binary,kc2,0.5,
binary,kr-vs-kp,0.5,
binary,phishingwebsites,0.5,0.998245
binary,phoneme,0.5,
binary,sylvine,0.5,
multiclass,car,0.83242,
multiclass,cnae-9,2.19722,
multiclass,dilbert,1.60913,
multiclass,eucalyptus,1.57384,
multiclass,fabert,1.87425,
multiclass,iris,1.09861,0.10802019677419356
multiclass,mfeat-factors,2.30259,
multiclass,micro-mass,2.911835,
multiclass,segment,1.9459099999999998,
multiclass,vehicle,1.38557,
regression,cholesterol,50.346900000000005,
